197,-170,-51,256,2,50,2884
197,-170,-51,250,-10,64,2880
198,-171,-49,264,2,56,2884
198,-171,-49,264,4,60,2888
203,-176,-50,259,-5,67,2884
203,-176,-50,263,-4,63,2880
202,-172,-51,263,-3,66,2884
202,-172,-51,263,-2,67,2884
194,-166,-48,262,-1,66,2888
194,-166,-48,264,1,66,2888
194,-166,-48,261,1,60,2884
205,-165,-51,255,1,63,2884
205,-165,-51,266,-4,69,2888
199,-165,-52,258,-3,62,2884
199,-165,-52,267,-2,63,2880
204,-167,-51,256,-5,51,2884
204,-167,-51,260,2,50,2884
204,-167,-51,261,4,63,2888
201,-167,-49,265,2,59,2888
201,-167,-49,258,0,67,2884
198,-173,-51,257,-1,69,2888
198,-173,-51,263,2,59,2884
205,-167,-52,256,-7,52,2884
205,-167,-52,261,0,54,2880
205,-167,-52,266,2,64,2884
209,-166,-45,262,0,51,2880
209,-166,-45,259,-1,63,2880
204,-161,-49,264,1,73,2888
204,-161,-49,261,4,61,2884
206,-167,-47,256,3,62,2880
206,-167,-47,256,-1,64,2888
206,-167,-47,261,-1,73,2884
205,-166,-52,265,-7,63,2880
205,-166,-52,261,5,56,2884
204,-167,-47,257,4,52,2884
204,-167,-47,252,1,62,2880
195,-170,-53,257,5,61,2884
195,-170,-53,255,0,62,2888
195,-170,-53,256,-3,59,2880
197,-172,-51,261,-3,69,2888
197,-172,-51,263,-6,64,2884
203,-174,-52,253,-6,70,2880
203,-174,-52,260,6,58,2880
202,-166,-53,254,1,63,2884
202,-166,-53,258,7,70,2880
202,-166,-53,256,1,50,2884
205,-172,-52,262,-4,64,2888
205,-172,-52,256,4,61,2880
204,-165,-45,253,-1,65,2888
204,-165,-45,256,-4,66,2884
197,-167,-49,266,4,69,2880
197,-167,-49,261,3,63,2884
197,-167,-49,259,2,66,2880
201,-172,-49,266,-2,56,2884
201,-172,-49,251,4,61,2884
196,-170,-48,254,-2,68,2884
196,-170,-48,265,4,59,2884
200,-169,-53,261,4,57,2884
200,-169,-53,255,1,67,2884
200,-169,-53,260,-1,63,2880
206,-174,-49,263,-1,58,2892
206,-174,-49,251,0,60,2884
196,-170,-47,261,0,59,2880
196,-170,-47,266,1,59,2884
203,-167,-44,243,3,60,2884
203,-167,-44,260,-9,72,2884
203,-167,-44,266,-3,64,2884
210,-169,-48,262,-2,64,2884
210,-169,-48,262,-3,64,2880
200,-163,-52,252,3,65,2884
200,-163,-52,252,-7,60,2880
196,-166,-47,258,-2,67,2884
196,-166,-47,263,2,67,2892
203,-170,-45,253,-3,58,2884
203,-170,-45,263,-1,57,2888
203,-170,-45,258,3,65,2880
199,-171,-47,265,-2,59,2884
199,-171,-47,256,1,71,2884
206,-173,-45,256,7,56,2880
206,-173,-45,250,3,55,2884
204,-173,-46,252,0,69,2884
204,-173,-46,260,1,64,2880
204,-173,-46,268,2,65,2884
206,-167,-50,261,7,53,2884
206,-167,-50,264,0,58,2880
209,-168,-48,261,8,55,2884
209,-168,-48,256,4,59,2884
205,-165,-55,266,-2,67,2888
205,-165,-55,264,3,60,2884
205,-165,-55,258,-3,62,2880
206,-162,-53,261,-2,72,2888
206,-162,-53,264,-2,62,2884
197,-172,-48,255,-3,67,2880
197,-172,-48,259,3,69,2888
198,-176,-52,259,-5,61,2884
198,-176,-52,267,5,49,2880
198,-176,-52,261,-11,65,2892
204,-170,-48,260,1,63,2884
204,-170,-48,269,4,66,2880
202,-166,-51,253,-2,74,2884
202,-166,-51,246,2,38,2884
204,-167,-45,286,8,8,2880
204,-167,-45,256,9,138,2884
204,-167,-45,255,-4,62,2884
204,-164,-44,255,5,49,2880
204,-164,-44,248,5,58,2892
205,-162,-44,255,-2,72,2884
205,-162,-44,260,4,84,2880
197,-156,-45,297,-33,104,2884
197,-156,-45,258,-6,70,2884
199,-158,-42,289,27,86,2884
199,-158,-42,282,-8,106,2880
199,-158,-42,259,-59,90,2880
169,-176,-20,263,10,160,2880
169,-176,-20,216,-2,109,2880
156,-177,-20,208,5,135,2884
156,-177,-20,293,-8,175,2884
131,-181,-8,206,12,172,2884
131,-181,-8,254,18,211,2888
113,-186,0,223,-26,170,2884
113,-186,0,239,-21,206,2888
113,-186,0,224,-15,282,2880
103,-197,1,154,9,165,2880
103,-197,1,256,39,262,2884
100,-202,4,228,-1,238,2888
100,-202,4,158,-12,247,2880
72,-222,1,311,9,348,2884
72,-222,1,134,-22,207,2884
72,-222,1,133,-58,230,2888
43,-246,-19,120,-24,300,2884
43,-246,-19,94,-47,223,2884
27,-257,-37,143,-46,296,2880
27,-257,-37,74,-16,257,2884
17,-269,-54,2,-63,276,2880
17,-269,-54,25,-65,299,2880
17,-269,-54,40,-9,243,2884
18,-282,-62,-21,-75,287,2884
18,-282,-62,1,-70,314,2880
17,-280,-74,-70,-56,257,2884
17,-280,-74,-70,-70,274,2888
13,-288,-87,-131,-112,274,2888
13,-288,-87,-88,-120,275,2884
15,-290,-107,-123,-116,278,2880
15,-290,-107,-147,-156,214,2884
