264,-7,28,-25345,7680,-15874,0,-9473,0,1629
246,-3,20,-26113,7168,-18690,0,-7169,0,1628
269,8,23,-26113,7168,-18690,0,-8705,0,1629
248,5,34,-26369,8192,-18946,0,-1537,0,1628
252,2,26,-23809,8448,-18178,0,1024,0,1628
248,-11,32,-23809,8448,-18178,0,-5121,0,1628
261,-16,18,-26625,9472,-23298,0,256,0,1627
262,-20,16,-27137,8192,-21250,0,512,0,1630
254,-16,22,-27137,8192,-21250,0,-2561,0,1627
256,-15,35,-24577,8960,-14594,0,-5633,0,1629
260,-5,32,-25089,7168,-22274,0,-5633,0,1628
247,-3,25,-25089,7168,-22274,0,-3329,0,1627
271,-1,18,-26881,9216,-21250,0,-4097,0,1629
248,-8,31,-25601,8704,-17922,0,-1793,0,1628
246,-2,23,-25601,8704,-17922,0,-2561,0,1628
241,-7,42,-25089,8960,-15362,0,-7169,0,1628
249,-17,27,-26625,6912,-18946,0,-7937,0,1628
253,-11,17,-26625,6912,-18946,0,-6145,0,1627
251,-4,21,-26625,6912,-18946,0,-3841,0,1629
258,-4,29,-26625,7168,-21250,0,-8193,0,1629
254,2,23,-23041,9216,-17666,0,-8705,0,1628
258,0,16,-23041,9216,-17666,0,-7169,0,1629
246,-2,21,-25089,7936,-20994,0,-4353,0,1629
246,-8,25,-23297,9728,-17666,0,-5121,0,1628
256,-10,31,-23297,9728,-17666,0,-5889,0,1628
262,-3,21,-26113,9984,-18178,0,-6401,0,1628
267,-6,20,-25345,8448,-20482,0,-4097,0,1629
262,-6,35,-25345,8448,-20482,0,-7425,0,1628
243,-1,54,-24833,9216,-18434,0,-4609,0,1628
263,0,69,-24833,8960,-19458,0,-6913,0,1629
264,2,75,-24833,8960,-19458,0,-3073,0,1628
270,2,62,-25857,10240,-19202,0,-1,0,1629
255,6,42,-24577,8192,-19202,0,-2049,0,1629
264,4,42,-24577,8192,-19202,0,-5889,0,1628
250,5,33,-25089,9216,-19202,0,-6145,0,1627
248,0,14,-25345,9472,-15874,0,-13057,0,1627
252,-5,9,-25345,9472,-15874,0,-6657,0,1628
267,5,14,-25857,8448,-18178,0,-8449,0,1628
257,-1,29,-25857,7936,-20226,0,-10241,0,1627
266,3,33,-25857,7936,-20226,0,-7169,0,1628
264,10,24,-26881,8704,-14338,0,-7937,0,1629
271,8,17,-24577,8960,-16642,0,-9729,0,1629
258,8,24,-24577,8960,-16642,0,-8193,0,1629
257,4,31,-26625,9728,-17410,0,-10753,0,1627
259,0,33,-24321,10240,-14082,0,-5889,0,1628
276,0,17,-24321,10240,-14082,0,-2049,0,1629
255,-1,21,-26369,10496,-18434,0,1024,0,1628
263,1,36,-24321,9984,-13570,0,-5121,0,1629
265,1,39,-24321,9984,-13570,0,-8449,0,1628
275,-5,23,-26113,9984,-19970,0,-4353,0,1628
272,-8,33,-25345,9216,-16130,0,-4865,0,1628
259,-9,15,-25345,9216,-16130,0,-5121,0,1629
257,-1,33,-25089,11008,-14594,0,-7425,0,1630
256,-3,23,-26625,11776,-17922,0,-8193,0,1629
279,-13,17,-25345,10240,-16130,0,-3841,0,1627
267,3,21,-25345,10240,-16130,0,-4609,0,1628
261,-1,38,-25857,9984,-17410,0,-14081,0,1631
273,4,26,-26113,10496,-17154,0,-11009,0,1629
266,-6,25,-26113,10496,-17154,0,-4865,0,1628
257,0,23,-26369,11008,-18178,0,3072,0,1629
279,6,17,-26369,10752,-20226,0,-257,0,1628
271,1,31,-26369,10752,-20226,0,2048,0,1629
267,2,26,-27393,10496,-18946,0,4608,0,1630
274,-8,31,-27905,9472,-19714,0,2048,0,1629
251,-29,24,-27905,9472,-19714,0,8704,0,1628
248,-24,24,-27137,10240,-18178,0,-4609,0,1627
257,-17,26,-27649,9472,-20226,0,-6913,0,1629
275,-13,6,-27649,9472,-20226,0,-2305,0,1628
261,-10,9,-28161,10752,-21506,0,-1,0,1628
274,-4,22,-26113,11776,-14850,0,-14593,0,1630
247,8,25,-26113,11776,-14850,0,-15873,0,1627
265,9,16,-26881,10752,-18946,0,-23041,0,1628
266,11,17,-27905,11776,-17410,0,-17153,0,1628
263,15,13,-27137,12800,-19714,0,-12545,0,1629
255,11,31,-27137,12800,-19714,0,-22529,0,1627
258,27,33,-27393,14080,-17154,0,-5121,0,1628
279,29,26,-27393,13056,-18178,0,4352,0,1630
268,32,23,-27393,13056,-18178,0,-5377,0,1628
263,15,29,-27393,12288,-16642,0,-15873,0,1629
283,2,42,-26113,11264,-15106,0,-10753,0,1629
273,-6,16,-26113,11264,-15106,0,256,0,1628
257,7,18,-26113,11264,-15106,0,-2049,0,1629
273,20,24,-28673,9984,-18434,0,9216,0,1629
265,33,37,-28673,9984,-20226,0,4096,0,1629
287,31,50,-27393,9984,-20226,0,-8193,0,1628
229,14,36,-27905,12032,-17154,0,13824,0,1628
269,5,51,-27393,10240,-18178,0,2304,0,1627
229,5,56,-27393,10240,-18178,0,3584,0,1628
286,-2,60,-25601,10240,-15874,0,-3073,0,1628
297,0,42,-27649,10240,-17666,0,14592,0,1629
304,8,51,-27649,10240,-17666,0,14848,0,1628
302,16,67,-25857,7936,-18178,0,16640,0,1629
269,14,97,-27649,9216,-20994,0,14592,0,1629
268,5,59,-27649,9216,-20994,0,21248,0,1628
252,-11,51,-25601,9472,-19202,0,5376,0,1627
257,-26,38,-28929,7680,-19970,0,13568,0,1627
241,-35,33,-28929,7680,-19970,0,19200,0,1627
274,-19,-14,-27905,9216,-19202,0,-2817,0,1628
288,-23,-43,-28417,8448,-22530,0,768,0,1629
286,-21,-50,-28417,8448,-22530,0,-5377,0,1629
269,-4,16,-28417,8448,-22530,0,-1025,0,1629
242,4,70,-28161,8960,-18178,0,13568,0,1630
250,6,65,-28161,8448,-20738,0,11264,0,1628
225,-2,15,-28161,8448,-20738,0,-2049,0,1628
280,7,-42,-26625,7424,-19202,0,-15105,0,1628
279,-6,-35,-28417,7680,-22786,0,-5121,0,1629
263,-24,6,-28417,7680,-22786,0,2304,0,1628
241,-18,34,-28673,7424,-22274,0,10240,0,1628
252,-12,21,-28161,6656,-20738,0,1792,0,1628
246,-6,-5,-28161,6656,-20738,0,-2049,0,1628
255,-8,-28,-30721,8448,-21762,0,-9985,0,1628
264,-14,0,-29185,7680,-21762,0,-5889,0,1627
247,-5,-11,-29185,7680,-21762,0,-2561,0,1628
255,-4,0,-29697,5632,-23554,0,-3073,0,1628
267,0,-9,-29953,7936,-25602,0,-3841,0,1629
257,5,-14,-29953,7936,-25602,0,-2817,0,1627
239,-4,-9,-27393,9472,-18434,0,-5377,0,1628
263,-1,-1,-29441,6912,-23298,0,-17409,0,1628
261,-7,-3,-29441,6912,-23298,0,768,0,1628
260,-8,-7,-29441,6912,-23298,0,1024,0,1629
257,8,-5,-28161,7168,-21506,0,2304,0,1629
271,11,1,-28161,7168,-21506,0,-513,0,1629
257,9,-10,-28673,7936,-19714,0,5888,0,1628
226,8,-5,-27905,7168,-19970,0,-2305,0,1627
276,-1,-13,-27905,7168,-19970,0,-1281,0,1628
264,-11,-22,-28929,7168,-22530,0,16384,0,1627
241,-11,-20,-27905,7680,-24066,0,6144,0,1628
250,1,-2,-28929,8192,-24578,0,-12033,0,1628
279,-1,-6,-28929,8192,-24578,0,512,0,1629
246,-14,-4,-29953,6912,-24066,0,2560,0,1628
243,-10,-18,-29441,7680,-23298,0,-9217,0,1629
254,-2,6,-29441,7680,-23298,0,8704,0,1628
261,-6,-1,-28673,6912,-20226,0,3584,0,1628
236,4,3,-28929,8704,-18434,0,-2305,0,1628
300,1,-8,-28929,8704,-18434,0,-4865,0,1628
247,-9,0,-28929,7168,-22530,0,9472,0,1628
257,-16,0,-27393,7680,-24578,0,-11777,0,1629
269,-8,2,-27393,7680,-24578,0,-11521,0,1629
254,-21,-3,-29441,6144,-24322,0,4864,0,1627
234,-20,-9,-29185,6656,-25346,0,-2561,0,1628
269,-17,-3,-29185,6656,-25346,0,0,0,1629
289,-23,5,-28929,5632,-23554,0,19968,0,1628
235,-14,2,-29697,5888,-25858,0,12032,0,1628
234,-23,-2,-29697,5888,-25858,0,-28929,0,1630
268,-15,-2,-29697,6912,-23554,0,-13057,0,1628
257,-36,0,-28161,6656,-22786,0,-13825,0,1629
251,-40,-6,-28161,6656,-22786,0,2560,0,1629
278,-16,-20,-28417,6656,-24578,0,15360,0,1629
247,6,-10,-27905,8448,-22786,0,20992,0,1629
247,20,-12,-27905,8448,-22786,0,-14337,0,1628
266,20,-12,-27905,8448,-22786,0,-13057,0,1628
280,-9,-30,-29185,9472,-24578,0,1280,0,1629
259,-41,-29,-29441,7168,-19714,0,8448,0,1629
261,-40,-27,-29441,7168,-19714,0,12544,0,1628
272,-16,-1,-29441,8192,-25858,0,10752,0,1628
256,-8,-14,-28161,9472,-20482,0,7168,0,1630
254,-18,-33,-28161,9472,-20482,0,-10241,0,1628
275,-12,-38,-30465,7168,-21250,0,1024,0,1628
281,-32,-33,-30721,7424,-16898,0,5120,0,1629
257,-35,-19,-30465,5120,-26114,0,-5633,0,1629
280,-17,-12,-30465,5120,-26114,0,-11521,0,1629
268,-19,-14,-31489,5888,-24578,0,-10241,0,1627
258,-24,-30,-29441,6912,-21506,0,-9473,0,1628
287,-11,-37,-29441,6912,-21506,0,-11265,0,1628
280,-1,-36,-29185,6912,-23042,0,1280,0,1627
263,-9,-39,-30721,7936,-24322,0,-5121,0,1628
264,-15,-26,-32257,8704,-23554,0,-15873,0,1628
281,-17,-22,-32257,8704,-23554,0,-513,0,1631
257,-28,-21,-31745,8448,-26370,0,-9985,0,1629
274,-20,-17,-30465,8704,-24834,0,-6401,0,1630
282,-11,-13,-30465,8704,-24834,0,1280,0,1628
256,-3,-3,-31233,7424,-24834,0,3072,0,1628
270,-4,3,-31489,8448,-26114,0,-6401,0,1627
251,-3,3,-31489,8448,-26114,0,-513,0,1628
255,-17,-3,-31745,8960,-25346,0,-7937,0,1627
267,-13,-4,-30721,7936,-24834,0,-3073,0,1628
276,-35,-8,-30721,7936,-24834,0,-6401,0,1629
264,-17,-4,32767,7424,-26626,0,-5121,0,1629
253,-15,-2,-32513,10496,-26370,0,-6913,0,1629
255,-1,-2,-31233,10496,-22786,0,-13569,0,1628
260,-3,1,-31233,10496,-22786,0,-6145,0,1627
255,-12,-8,-31233,9472,-24322,0,24319,0,1628
262,-22,-23,-32257,9216,-25602,0,-27137,0,1629
325,-15,-31,-32257,9216,-25602,0,3072,0,1629
209,-2,-21,-30977,11008,-23810,0,2816,0,1629
226,16,-32,-32257,9728,-26370,0,-26113,0,1627
250,33,-27,-32257,9728,-26370,0,-17153,0,1628
254,16,-31,-32257,9728,-26370,0,-21249,0,1629
236,7,-47,-32257,9728,-26626,0,-17409,0,1628
275,-5,-35,-32513,10496,-25346,0,4096,0,1629
250,10,6,-32513,10496,-25346,0,12544,0,1629
241,20,12,32767,12032,-20994,0,4608,0,1628
251,32,25,-31489,10240,-25858,0,2048,0,1627
242,18,-18,-31489,10240,-25858,0,32256,0,1628
196,20,-16,-30977,11264,-27138,0,-31232,0,1628
236,4,2,-32257,11008,-29186,0,-13057,0,1629
250,-1,24,-32257,11008,-29186,0,12288,0,1629
268,-23,22,-29953,10752,-24578,0,0,0,1628
230,-46,16,-31745,13056,-26882,0,-19201,0,1628
299,-38,19,-31745,13056,-26626,0,12544,0,1627
222,-15,35,-31745,13056,-26626,0,13568,0,1628
209,14,31,-30977,14336,-23810,0,-25345,0,1628
227,17,41,-28929,13056,-24834,0,-31233,0,1628
229,5,-2,-28929,13056,-24834,0,-4865,0,1628
154,-6,8,-27905,13056,-23298,0,-2561,0,1628
179,-23,4,-26881,14080,-20738,0,19199,0,1628
198,-1,43,-26881,14080,-20738,0,-5633,0,1629
213,11,43,-24833,17152,-12802,0,-28416,0,1628
145,9,47,-20225,19968,-4866,0,-8705,0,1629
160,32,22,-20225,19968,-4866,0,29184,0,1628
143,9,28,-20225,19968,-4866,0,12800,0,1629
120,10,27,-19713,30464,29695,0,-14593,0,1629
196,-9,65,-32513,-26368,26879,0,23039,0,1627
407,-43,122,-32513,-26368,26879,0,6399,0,1628
378,-85,171,23807,-24832,12543,0,-1,0,1629
410,-81,1,22015,32512,-8194,0,-22016,0,1628
383,21,118,22015,32512,-8194,0,-29185,0,1628
105,28,61,27391,26880,-18178,0,16640,0,1628
150,60,15,30463,22784,-19970,0,-30465,0,1628
141,36,21,30463,22784,-19970,0,-22529,0,1627
